"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3"
"Pujols"," Albert","Albert Pujols","LAD",405395,2021,-0.713666722448074,2.98612460007906,-0.915896573699681
"Cabrera"," Miguel","Miguel Cabrera","DET",408234,2021,-0.639474819615314,2.50473274786464,0.337486365151194
"Rivera"," Rene","Rene Rivera","CLE",425784,2021,0.11577811231501,1.538198854118,0.168324684593058
"Wainwright"," Adam","Adam Wainwright","STL",425794,2021,4.25292345848098,1.57263505160247,-0.240980762096118
"Molina"," Yadier","Yadier Molina","STL",425877,2021,-0.0401113971798063,2.05024308440257,0.13778904226286
"Suzuki"," Kurt","Kurt Suzuki","LAA",435559,2021,0.958521426830994,1.51132629120731,0.342318591497476
"Cruz Jr."," Nelson","Nelson Cruz Jr.","TB",443558,2021,-2.24182194819446,1.67577225654473,-0.836071281985891
"Peralta"," David","David Peralta","ARI",444482,2021,-0.862026367171528,0.0488645313883521,0.821434921112746
"Pina"," Manny","Manny Pina","MIL",444489,2021,-1.35586197393921,2.35665910492893,-1.15725120537835
"Escobar"," Alcides","Alcides Escobar","WSH",444876,2021,-0.38562591226224,-0.520284053818119,0.486778366446525
"Jay"," Jon","Jon Jay","LAA",445055,2021,0.582249091026207,0.301861643500523,0.693669099512839
"Longoria"," Evan","Evan Longoria","SF",446334,2021,-2.47169492279819,1.79015114465125,-0.126389805423459
"Lobaton"," Jose","Jose Lobaton","CHC",446653,2021,3.2042323256987,-0.372214389819054,1.38695395270665
"Hill"," Rich","Rich Hill","BOS",448179,2021,4.19733128458636,0.809157888346916,1.64541676679326
"Morton"," Charlie","Charlie Morton","ATL",450203,2021,5.41443537783449,2.0300393469586,-1.43060801671634
"Fowler"," Dexter","Dexter Fowler","LAA",451594,2021,0.343430231354806,-2.72942878842191,0.356880308459745
"Lester"," Jon","Jon Lester","STL",452657,2021,1.421600741289,0.131247447840528,-0.998839720624735
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,-0.304966717243201,1.45462864715972,0.526919711139963
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,6.23997668023374,-1.03520068110281,-1.1376614914724
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,6.81166765420202,2.26750373509974,-1.3754351578752
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,3.30480415523289,-0.555211992083365,0.381748822477538
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,-1.61411189343803,0.144865369883243,0.571101118069528
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,2.68731303886487,1.12380166019158,0.545237750149489
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,0.7522199297679,2.13140101622964,0.216617676304852
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,-0.267041270793983,1.90882068659802,-1.21161740299921
"Price"," David","David Price","LAD",456034,2021,1.70039574317852,-0.158251947087456,-0.384571275266828
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,4.6680289252051,-2.5916635201679,-1.48081859590934
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,-1.6811814055265,-2.20929747799739,0.0874359542880887
"Solano"," Donovan","Donovan Solano","SF",456781,2021,-1.00650784365539,0.735798605660347,0.680506403266433
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,-2.45018648337654,0.0604527829732543,0.128473705922861
"Upton"," Justin","Justin Upton","LAA",457708,2021,-1.59514438586157,0.590893485013684,-0.135024221089016
"Maybin"," Cameron","Cameron Maybin","NYM",457727,2021,2.73828868846101,-4.25173716860077,0.355885016558993
"Turner"," Justin","Justin Turner","LAD",457759,2021,-1.87331671459025,1.65479364383568,-0.0925119170358726
"Posey III"," Buster","Buster Posey III","SF",457763,2021,-2.04574414813687,2.42522530540046,0.755563901898852
"Bruce"," Jay","Jay Bruce","NYY",457803,2021,1.4108383430619,2.57258561037447,1.64883524223846
"Happ"," J.A.","J.A. Happ","STL",457918,2021,5.09552811728696,1.38464063203338,-0.168108559595616
"Votto"," Joey","Joey Votto","CIN",458015,2021,-3.70527575324973,2.62270545787085,-1.38750626286427
"Gardner"," Brett","Brett Gardner","NYY",458731,2021,-0.704208123593938,-0.946127675791962,0.785185518573264
"Joyce"," Matt","Matt Joyce","PHI",459964,2021,0.109325569735102,1.33015143523971,0.709190777390228
"Butera"," Drew","Drew Butera","LAA",460077,2021,2.71329399138192,-0.238582231115501,-0.816937256992983
"Romine"," Andrew","Andrew Romine","CHC",461865,2021,0.497210033150754,-1.1313977731696,0.834912053563122
"Andrus"," Elvis","Elvis Andrus","OAK",462101,2021,0.330873809407914,-1.10404124153652,0.821763259884122
"Sandoval"," Pablo","Pablo Sandoval","ATL",467055,2021,-0.472029551711871,3.33094508281742,-0.588600641001666
"Ramos"," Wilson","Wilson Ramos","DET",467092,2021,-0.0440775664813983,2.35119804179223,-1.54086800674763
"Santana"," Carlos","Carlos Santana","KC",467793,2021,-0.41738413314231,1.37680244123664,0.443458345117988
"Parra"," Gerardo","Gerardo Parra","WSH",467827,2021,0.240354244552429,0.0979297717802511,0.591785533711847
"Carrasco"," Carlos","Carlos Carrasco","NYM",471911,2021,6.23997668023374,-1.03520068110281,-1.1376614914724
"Anderson"," Brett","Brett Anderson","MIL",474463,2021,3.73169134741637,0.512554003318877,3.09998078555777
"Mercer"," Jordy","Jordy Mercer","WSH",474568,2021,-0.34946451394358,0.438327888062574,0.866997318047859
"Belt"," Brandon","Brandon Belt","SF",474832,2021,-3.65637469295497,1.98192379699659,-1.22673264946123
"Zimmerman"," Ryan","Ryan Zimmerman","WSH",475582,2021,-1.82769700989715,1.4483729487748,-0.478012767723761
"Lowrie"," Jed","Jed Lowrie","OAK",476704,2021,-1.068015847976,1.58110359991536,-0.0132742128323428
"Kershaw"," Clayton","Clayton Kershaw","LAD",477132,2021,3.03649777864623,1.53518405360513,-0.689587981817921
"Avila"," Alex","Alex Avila","WSH",488671,2021,0.00661209878595131,2.2694638442627,0.924772192229451
"Brantley Jr."," Michael","Michael Brantley Jr.","HOU",488726,2021,-1.06340702912313,1.01183901229014,0.950049260435142
"Castro"," Jason","Jason Castro","HOU",488771,2021,-1.97155667655968,1.41486807905017,-0.442346761804457
"Miley"," Wade","Wade Miley","CIN",489119,2021,3.20414126583637,1.11566590325055,-0.431724813470877
"Gurriel"," Yuli","Yuli Gurriel","HOU",493329,2021,-1.83614823486551,0.683814226414812,1.32278785339789
"Campbell"," Eric","Eric Campbell","SEA",493472,2021,0.918479307992531,0.325785979865867,1.63527677362865
"Rojas"," Miguel","Miguel Rojas","MIA",500743,2021,-0.288122040972469,-0.794899107427403,0.312426018394371
"Escobar"," Eduardo","Eduardo Escobar","ARI",500871,2021,-2.07777549125801,0.58506866293234,-0.571688664949907
"Adrianza"," Ehire","Ehire Adrianza","ATL",501303,2021,-0.99733522791322,0.611768333672814,0.847660502770433
"Lagares"," Juan","Juan Lagares","LAA",501571,2021,-0.157584623808952,-0.2239022821061,-0.095617269764875
"Almonte"," Abraham","Abraham Almonte","ATL",501659,2021,-1.48428522993338,0.0951731268519609,0.64467283348857
"Davis"," Khris","Khris Davis","OAK",501981,2021,-0.0198922415040639,1.63632496905094,-0.246750271721509
"Gibson"," Kyle","Kyle Gibson","TEX",502043,2021,3.46220726228279,0.823948648343651,-2.24171629857093
"Pham"," Tommy","Tommy Pham","SD",502054,2021,-1.68035965032848,-0.634214731204389,0.42911319296877
"Martinez"," J.D.","J.D. Martinez","BOS",502110,2021,-2.56394054139118,1.89151567438526,-0.164110080543479
"Espino"," Paolo","Paolo Espino","WSH",502179,2021,4.04743035978675,1.29438798247736,-1.17314019972626
"Reddick"," Josh","Josh Reddick","ARI",502210,2021,-0.430153449745693,0.708729141346083,0.868472679172018
"Freeman"," Mike","Mike Freeman","CIN",502273,2021,0.977882871520719,-1.85778252865188,1.35340905011762
"Dyson"," Jarrod","Jarrod Dyson","KC",502481,2021,0.272949259358669,-5.82357745192566,-0.775711820677988
"Anderson"," Chase","Chase Anderson","PHI",502624,2021,5.4777721473303,-0.925907226665525,-0.813956827421321
"Goldschmidt"," Paul","Paul Goldschmidt","STL",502671,2021,-2.77593018736173,0.91779930661375,-0.608836526726154
"Gonzalez"," Marwin","Marwin Gonzalez","BOS",503556,2021,0.387026471877615,-0.308644313555183,0.402908076672756
"Darvish"," Yu","Yu Darvish","SD",506433,2021,5.16867410454086,1.92507640881232,-0.2946135751047
"Leon"," Sandy","Sandy Leon","MIA",506702,2021,1.84662229240673,1.27629757105164,-0.0957531577190295
"Sanchez"," Adrian","Adrian Sanchez","WSH",506703,2021,0.740071177248783,0.849124674664031,2.85985693898251
"Altuve"," Jose","Jose Altuve","HOU",514888,2021,-2.16593845229214,-0.0926861985406553,0.121828464428618
"Hernandez"," Cesar","Cesar Hernandez","CLE",514917,2021,-1.30401658925069,-0.138009952150636,0.672029555196002
"Segura"," Jean","Jean Segura","PHI",516416,2021,-1.38456421480113,-0.379040230428096,0.724580171909723
"Castro"," Starlin","Starlin Castro","WSH",516770,2021,-0.583473567985771,0.801734761646607,0.884523421206153
"Marte"," Starling","Starling Marte","OAK",516782,2021,-2.5210561837323,-4.03412378157848,-0.680262042536373
"Bumgarner"," Madison","Madison Bumgarner","ARI",518516,2021,2.27997257665081,2.54194468896614,-0.053022722809537
"Culberson"," Charlie","Charlie Culberson","TEX",518586,2021,-0.306775609235245,-1.83789282226537,-0.0327837519317517
"d'Arnaud"," Travis","Travis d'Arnaud","ATL",518595,2021,-0.582858481337438,1.24856787770867,0.432347652477198
"Donaldson"," Josh","Josh Donaldson","MIN",518626,2021,-2.23033116480169,2.79286020155761,-0.128968150864838
"Freeman"," Freddie","Freddie Freeman","ATL",518692,2021,-2.89455337310528,0.609446088316872,0.0849578034025606
"Grandal"," Yasmani","Yasmani Grandal","CWS",518735,2021,-3.10180384243474,3.79907341036899,0.255697213143347
"Heyward"," Jason","Jason Heyward","CHC",518792,2021,-0.0940717130581477,-0.520417695117817,0.164663581952393
"Kelly"," Merrill","Merrill Kelly","ARI",518876,2021,5.11140704855011,1.05312288217505,-0.158094355461538
"Kozma"," Pete","Pete Kozma","OAK",518902,2021,3.44435100394328,-0.501075004299503,0.792877522406706
"LeMahieu"," DJ","DJ LeMahieu","NYY",518934,2021,-0.660336714749034,0.522847556373973,1.4270313599653
"Lucroy"," Jonathan","Jonathan Lucroy","WSH",518960,2021,-0.0418427321834942,1.05296936302928,0.705835299042551
"Moore"," Matt","Matt Moore","PHI",519043,2021,5.80399568747949,-0.972684825174221,-0.952502423663434
"Moreland"," Mitch","Mitch Moreland","OAK",519048,2021,-0.619505123663646,1.76346805462924,-0.44948086983376
"Moustakas"," Mike","Mike Moustakas","CIN",519058,2021,-0.0972965209062681,1.54455059714433,0.465565860534832
"Rizzo"," Anthony","Anthony Rizzo","CHC",519203,2021,-1.21824995366913,1.07228558827847,0.174847562341658
"Romine"," Austin","Austin Romine","CHC",519222,2021,0.912472813124004,1.55527936955099,1.35463837585897
"Sogard"," Eric","Eric Sogard","CHC",519299,2021,0.571626487944415,-0.613631410024366,1.15985375569153
"Souza Jr."," Steven","Steven Souza Jr.","LAD",519306,2021,0.00707923750681765,0.755688875990878,1.39127050457203
"Stanton"," Giancarlo","Giancarlo Stanton","NYY",519317,2021,-2.58056223637517,2.98923324258592,-0.713268023713732
"Vogt"," Stephen","Stephen Vogt","ARI",519390,2021,0.0136471692340083,0.659343943051915,-0.0314570565884813
"Galvis"," Freddy","Freddy Galvis","BAL",520471,2021,-0.435982424328936,0.789707829910895,-0.0853907405141884
"Perez"," Salvador","Salvador Perez","KC",521692,2021,-2.67624371883986,2.07087999538084,-1.93420091008272
"Flores"," Wilmer","Wilmer Flores","SF",527038,2021,-1.08786576576084,1.84247573578577,0.199780816690131
"LaMarre"," Ryan","Ryan LaMarre","NYY",534606,2021,-2.64545636396158,-1.46399144778538,-0.989669164630011
"Tovar"," Wilfredo","Wilfredo Tovar","NYM",541600,2021,1.26115314499789,-0.438285762811026,1.01249206948874
"Garcia"," Avisail","Avisail Garcia","MIL",541645,2021,-2.92232657828876,0.0667956971661943,-0.809076673228499
"Perez"," Hernan","Hernan Perez","WSH",541650,2021,3.63078306892467,-0.274639560872712,0.791770087547554
"Inciarte"," Ender","Ender Inciarte","ATL",542255,2021,0.0310887032302185,-0.651191096665065,-0.00912259206392494
"Ozuna"," Marcell","Marcell Ozuna","ATL",542303,2021,-1.03915829853268,1.19215848182204,0.288723527153608
"Villar"," Jonathan","Jonathan Villar","NYM",542340,2021,-0.770217125191434,-1.3659104312393,-0.780894125146115
"Ortega"," Rafael","Rafael Ortega","CHC",542364,2021,-1.44857019293504,-1.60578128106941,-0.645155808401216
"Santana"," Danny","Danny Santana","BOS",542454,2021,-0.810308208649247,-2.42278115519711,-1.25061043183671
"Aguilar"," Jesus","Jesus Aguilar","MIA",542583,2021,-1.58597954549436,2.31078946510161,-0.519337164368873
"Anderson"," Tyler","Tyler Anderson","SEA",542881,2021,2.08001882419728,0.0768784922037272,-0.93474386360873
"Berti"," Jon","Jon Berti","MIA",542932,2021,-0.691201637707385,-2.52033679565379,1.33036160985838
"Brantly"," Rob","Rob Brantly","NYY",542963,2021,3.4423943923514,-0.270063469934785,0.187084629493427
"Burns"," Andy","Andy Burns","LAD",542992,2021,-1.98641038293947,0.455413342379903,5.85474892014243
"Crawford"," Brandon","Brandon Crawford","SF",543063,2021,-2.82110899322381,0.637659896250842,-0.648080733376553
"Cron"," C.J.","C.J. Cron","COL",543068,2021,-2.54245757521598,1.89873235265081,-0.482491250288021
"DeSclafani"," Anthony","Anthony DeSclafani","SF",543101,2021,4.94482569356388,1.48588821336984,-1.09262855268166
"Dickerson"," Alex","Alex Dickerson","SF",543105,2021,-1.4163644843993,0.974970824789248,-0.172622397413112
"Gomes"," Yan","Yan Gomes","WSH",543228,2021,-1.33858683104977,1.59742255296091,0.294987158787462
"Gray"," Sonny","Sonny Gray","CIN",543243,2021,4.41454752262544,0.524649966682742,0.133884237881912
"Grossman"," Robbie","Robbie Grossman","DET",543257,2021,-2.06253242834836,-0.939030770883017,0.245276590924387
"Harrison"," Josh","Josh Harrison","WSH",543281,2021,-1.09200345881046,-0.450723518828408,0.618243056614114
"Hendricks"," Kyle","Kyle Hendricks","CHC",543294,2021,5.31523753687913,1.58525304204116,-1.13449082318439
"Hicks"," Aaron","Aaron Hicks","NYY",543305,2021,-1.05058315528466,0.938051942064989,0.463002387390378
"Hicks"," John","John Hicks","TEX",543308,2021,-3.8935127647715,2.54622489332884,-3.70018972910591
"Higashioka"," Kyle","Kyle Higashioka","NYY",543309,2021,-1.112005725585,1.85748957959111,-1.19934653796042
"Hosmer"," Eric","Eric Hosmer","SD",543333,2021,-0.633964496605,0.363235956916798,0.38508186891886
"Lavarnway"," Ryan","Ryan Lavarnway","CLE",543432,2021,1.54840495027722,0.991775583815533,-0.600656885113256
"McCann"," James","James McCann","NYM",543510,2021,-0.468147400463911,0.829073278725653,0.62429886401283
"Miller"," Brad","Brad Miller","PHI",543543,2021,-2.23887901115093,0.624884218032258,-0.413948024591763
"Nola"," Austin","Austin Nola","SD",543592,2021,-0.310433749724299,0.813443408304305,0.655315994736113
"Rendon"," Anthony","Anthony Rendon","LAA",543685,2021,-0.870662296339702,1.9473665478359,1.29340164862156
"Semien"," Marcus","Marcus Semien","TOR",543760,2021,-2.92756037268173,-0.376691181865024,-0.855941923402081
"Shaw"," Travis","Travis Shaw","MIL",543768,2021,-0.294360131778734,1.51419414891287,-1.16337749902586
"Springer III"," George","George Springer III","TOR",543807,2021,-3.57377614237961,0.454708190284999,-0.882432300426162
"Vazquez"," Christian","Christian Vazquez","BOS",543877,2021,0.00950015588404907,0.0976754474776956,0.766484215521351
"Wong"," Kolten","Kolten Wong","MIL",543939,2021,-1.3411297259443,-0.921676620202589,-0.241254967621957
"Gregorius"," Didi","Didi Gregorius","PHI",544369,2021,-0.615395450878055,-0.164761566574118,0.328497823943575
"Garcia"," Leury","Leury Garcia","CWS",544725,2021,-0.760702287040962,-0.931108444828521,1.04374639138313
"Vargas"," Ildemaro","Ildemaro Vargas","ARI",545121,2021,1.28669885146745,-0.616604040248252,0.919581440455291
"Bauer"," Trevor","Trevor Bauer","LAD",545333,2021,5.97974404439164,1.82801804896142,-1.46082768720183
"Grichuk"," Randal","Randal Grichuk","TOR",545341,2021,-1.41932602603717,0.554006064533043,-0.0139044840294974
"Marisnick"," Jake","Jake Marisnick","CHC",545350,2021,-0.800076225246575,-1.23038652916205,-0.211507534042438
"Stassi"," Max","Max Stassi","LAA",545358,2021,-1.38793521602044,1.56130836653831,-0.005766389480027
"Trout"," Mike","Mike Trout","LAA",545361,2021,-4.91873235765977,0.396063703872216,-0.41513621120609
"Herrera"," Odubel","Odubel Herrera","PHI",546318,2021,-0.922148598163079,-0.550171329491271,0.18758372697441
"Alford"," Anthony","Anthony Alford","PIT",546990,2021,-2.17482725151727,-2.81563039449316,0.0831267880664673
"Almora Jr."," Albert","Albert Almora Jr.","NYM",546991,2021,2.7256028218868,-0.911418229873018,1.27677467814735
"Poteet"," Cody","Cody Poteet","MIA",547001,2021,5.20047482670764,1.30744460557999,-1.76404295072758
"Ruiz"," Rio","Rio Ruiz","BAL",547004,2021,1.08113868217249,0.0153615087239345,0.0314680572127977
"Wolters"," Tony","Tony Wolters","CHC",547172,2021,2.62288319058311,-0.177693896893475,1.9012849204553
"Harper"," Bryce","Bryce Harper","PHI",547180,2021,-4.46568547950324,0.649085862615979,-0.594428620211915
"Perez"," Roberto","Roberto Perez","CLE",547379,2021,0.585069815681738,1.1446725555168,-1.94441451413439
"Kim"," Kwang Hyun","Kwang Hyun Kim","STL",547942,2021,3.41332278202938,-0.959942190360917,-0.584570953778674
"Abreu"," Jose","Jose Abreu","CWS",547989,2021,-2.36991268335863,1.78550884730404,0.281020947252051
"Diaz"," Elias","Elias Diaz","COL",553869,2021,-1.2526648957656,1.82441389214314,0.299747280730174
"Narvaez"," Omar","Omar Narvaez","MIL",553882,2021,-0.96858252919056,1.64609336430394,1.01500304908867
"Astudillo"," Willians","Willians Astudillo","MIN",553902,2021,0.378993492490714,2.09302962977539,0.684053358455679
"Suarez"," Eugenio","Eugenio Suarez","CIN",553993,2021,-1.76128116007071,1.58446631830199,-0.831939066107081
"Wheeler"," Zack","Zack Wheeler","PHI",554430,2021,4.15147643226675,1.31572367698418,-0.631378377403343
"Polanco"," Gregory","Gregory Polanco","PIT",570256,2021,-1.19458970146242,-1.55558069554653,-0.223654127116448
"Gonzalez"," Erik","Erik Gonzalez","PIT",570481,2021,0.381795940659532,-0.8284364770444,0.500138973979972
"Urshela"," Gio","Gio Urshela","NYY",570482,2021,-0.99730055612018,1.1843794690366,0.445532758722055
"Schoop"," Jonathan","Jonathan Schoop","DET",570731,2021,-1.1388953890113,0.776861008994053,0.155383326777443
"Adams"," Matt","Matt Adams","COL",571431,2021,1.50652252870267,0.805959342120507,1.45355191671739
"Arenado"," Nolan","Nolan Arenado","STL",571448,2021,-1.64302091478958,1.8305828641104,-0.259926831625418
"Barnhart"," Tucker","Tucker Barnhart","CIN",571466,2021,-0.20693556588275,1.69279605399717,0.548811610219457
"Corbin"," Patrick","Patrick Corbin","WSH",571578,2021,5.19219552883044,1.22936229960146,-0.80290993402622
"Farmer"," Kyle","Kyle Farmer","CIN",571657,2021,-0.954857888885561,0.437574919473492,0.53283728788572
"Goodwin"," Brian","Brian Goodwin","CWS",571718,2021,-0.898767110732027,0.132721837162243,0.199090952527249
"Hamilton"," Billy","Billy Hamilton","CWS",571740,2021,-0.526475589133324,-5.57265356160326,-1.02446716319381
"Haniger"," Mitch","Mitch Haniger","SEA",571745,2021,-2.22156927985753,1.22262505604236,-0.845873521770652
"Hernandez"," Enrique","Enrique Hernandez","BOS",571771,2021,-1.60056732799737,0.563495675689224,0.141906980118993
"Holt"," Brock","Brock Holt","TEX",571788,2021,0.261836812959742,-0.749692988253836,0.922364714767047
"Lamb"," Jake","Jake Lamb","CWS",571875,2021,-1.25401945803816,1.55504557994103,0.0894524723069125
"Maile"," Luke","Luke Maile","MIL",571912,2021,-1.174143364254,1.14526044341725,2.00925751377248
